Date,Open,High,Low,Close,Adj Close,Volume
2020-09-08,69.434998,70.207497,68.824997,69.477501,63.992886,7158000
2020-09-09,70.000000,71.705002,69.959999,70.592499,65.019867,4781600
2020-09-10,70.264999,70.497498,69.107498,69.227501,63.762604,4362800
2020-09-11,69.542503,69.797501,68.862503,69.537498,64.048149,3932800
2020-09-14,69.887497,70.997498,69.607498,70.480003,64.916245,3916400
2020-09-15,73.912498,74.824997,72.787498,73.925003,68.089287,10827600
2020-09-16,71.192497,71.737503,69.782501,70.087502,64.554726,19501600
2020-09-17,69.500000,70.067497,68.952499,69.879997,64.363609,9385600
2020-09-18,69.742500,70.497498,68.959999,69.230003,63.764927,14386000
2020-09-21,68.750000,69.172501,67.892502,69.050003,63.599133,7558800
2020-09-22,69.364998,69.987503,68.742500,69.514999,64.027420,7192800
2020-09-23,69.665001,69.665001,68.279999,68.327499,62.933662,5855200
2020-09-24,68.177498,69.940002,68.139999,69.385002,63.907665,7478400
2020-09-25,68.849998,70.532501,68.582497,70.455002,64.893219,5456800
2020-09-28,70.864998,71.507500,70.660004,71.035004,65.427429,6918400
2020-09-29,71.025002,71.482498,70.550003,70.779999,65.192566,7094000
2020-09-30,70.197502,70.782501,66.785004,69.389999,63.912289,23238400
2020-10-01,69.769997,71.010002,69.660004,70.690002,65.109665,10018400
2020-10-02,69.692497,71.787498,69.625000,70.292503,64.743553,8306000
2020-10-05,70.959999,72.245003,70.732498,71.977501,66.295525,6599200
2020-10-06,72.160004,73.125000,71.315002,72.570000,66.841263,7288400
2020-10-07,73.237503,74.442497,72.375000,74.279999,68.416260,10130400
2020-10-08,74.667503,75.495003,74.232498,75.260002,69.318909,5694400
2020-10-09,75.930000,75.930000,75.074997,75.727501,69.749489,6472000
2020-10-12,75.750000,77.014999,75.500000,76.417503,70.385017,5816400
2020-10-13,75.750000,76.080002,74.750000,75.367500,69.417908,8596800
2020-10-14,75.500000,75.820000,74.672501,75.160004,69.226799,5501200
2020-10-15,74.495003,74.972504,73.915001,74.614998,68.724846,5739200
2020-10-16,74.889999,76.550003,74.680000,76.400002,70.368912,7449600
2020-10-19,76.282501,76.907501,74.535004,74.887497,68.975815,7710400
2020-10-20,75.305000,76.025002,74.855003,75.247498,69.307388,6003200
2020-10-21,74.724998,75.620003,73.857498,74.419998,68.545212,7796000
2020-10-22,74.904999,76.077499,74.805000,75.567497,69.602127,8463600
2020-10-23,75.775002,76.387497,75.410004,75.767502,69.786346,5617200
2020-10-26,75.320000,75.737503,74.394997,75.662498,69.689636,5707600
2020-10-27,76.139999,76.430000,75.019997,75.779999,69.797852,4834200
2020-10-28,74.739998,76.050003,74.290001,74.459999,68.582054,7508900
2020-10-29,74.379997,75.029999,72.940002,74.010002,68.167572,7753100
2020-10-30,73.730003,74.349998,72.500000,73.209999,67.430748,8790500
2020-11-02,74.099998,75.449997,73.720001,75.129997,69.199158,9233600
2020-11-03,76.050003,76.930000,75.389999,76.019997,70.018913,6887900
2020-11-04,74.510002,74.910004,73.000000,73.320000,67.532059,12128800
2020-11-05,75.300003,76.250000,74.489998,74.750000,68.849159,8644100
2020-11-06,75.000000,76.059998,74.120003,75.720001,69.742584,6076100
2020-11-09,81.089996,83.339996,75.349998,75.510002,69.549171,12864500
2020-11-10,77.389999,77.529999,75.309998,75.989998,69.991280,8649200
2020-11-11,76.510002,78.379997,76.209999,77.540001,71.418915,6903300
2020-11-12,77.610001,77.900002,76.019997,76.669998,70.617577,5901900
2020-11-13,77.000000,77.730003,76.790001,77.190002,71.096542,6235000
2020-11-16,78.199997,78.279999,76.320000,77.750000,71.612328,7667600
2020-11-17,77.750000,78.470001,76.389999,76.610001,70.562340,5866300
2020-11-18,77.320000,77.360001,75.769997,75.790001,69.807068,6501900
2020-11-19,75.940002,76.019997,74.809998,75.129997,69.199158,7392300
2020-11-20,75.279999,76.330002,75.250000,75.550003,69.586021,5891000
2020-11-23,76.000000,76.019997,74.129997,74.570000,68.683365,7634600
2020-11-24,75.470001,75.660004,74.510002,74.980003,69.061012,6699600
2020-11-25,74.669998,76.019997,74.489998,75.970001,70.301025,6443100
2020-11-27,76.050003,76.129997,74.699997,75.129997,69.523697,3669300
2020-11-30,75.300003,75.400002,73.250000,73.589996,68.098602,13120300
2020-12-01,74.120003,75.570000,73.949997,74.150002,68.616829,8099500
2020-12-02,74.139999,74.360001,72.910004,74.309998,68.764893,5128800
2020-12-03,74.040001,74.550003,73.019997,73.349998,67.876511,7660500
2020-12-04,73.120003,73.550003,71.940002,72.519997,67.108459,7763800
2020-12-07,72.500000,73.790001,72.400002,73.269997,67.802505,6752200
2020-12-08,72.860001,74.290001,72.129997,73.680000,68.181908,8255400
2020-12-09,73.540001,73.900002,72.449997,73.669998,68.172630,6683700
2020-12-10,73.790001,74.110001,72.989998,73.279999,67.811745,6204600
2020-12-11,73.139999,73.889999,73.010002,73.800003,68.292946,6022500
2020-12-14,74.400002,75.220001,73.500000,73.550003,68.061592,5759900
2020-12-15,73.660004,75.300003,73.290001,74.910004,69.320114,6859400
2020-12-16,75.180000,75.750000,74.199997,74.440002,68.885178,7787700
2020-12-17,75.059998,76.019997,74.839996,75.059998,69.458908,9384200
2020-12-18,75.089996,75.540001,73.930000,74.510002,68.949966,13298300
2020-12-21,73.940002,74.550003,72.879997,74.400002,68.848183,7251400
2020-12-22,74.440002,75.230003,73.879997,74.709999,69.135040,5335300
2020-12-23,75.160004,75.550003,74.330002,74.330002,68.783394,4626400
2020-12-24,74.449997,75.160004,74.160004,74.980003,69.384888,1387500
2020-12-28,75.430000,75.879997,75.040001,75.489998,69.856827,3753700
2020-12-29,75.610001,75.870003,75.110001,75.330002,69.708778,3774900
2020-12-30,75.629997,76.279999,75.510002,75.910004,70.245491,3804800
2020-12-31,75.900002,77.190002,75.660004,77.150002,71.392975,4119400
2021-01-04,77.209999,77.500000,73.580002,74.220001,68.681610,9388400
2021-01-05,74.510002,75.180000,74.059998,74.769997,69.190575,7339800
2021-01-06,76.650002,79.370003,75.599998,78.430000,72.577431,12155700
2021-01-07,79.900002,80.660004,78.889999,79.290001,73.373276,8816000
2021-01-08,79.830002,81.209999,79.440002,81.129997,75.075966,8376200
2021-01-11,80.980003,81.000000,78.970001,79.690002,73.743416,7064300
2021-01-12,79.650002,80.550003,78.540001,79.750000,73.798950,7669300
2021-01-13,80.599998,82.239998,80.160004,81.839996,75.732986,8542600
2021-01-14,81.959999,82.739998,81.150002,82.529999,76.371506,8899000
2021-01-15,82.440002,83.260002,81.949997,82.040001,75.918076,10561600
2021-01-19,82.500000,83.199997,81.760002,82.809998,76.630608,8142700
2021-01-20,82.650002,85.029999,82.419998,84.050003,77.778091,8576800
2021-01-21,84.250000,84.750000,83.650002,83.709999,77.463440,9268600
2021-01-22,83.949997,84.550003,83.550003,84.209999,77.926140,6371800
2021-01-25,84.120003,87.690002,84.099998,86.870003,80.387650,13215600
2021-01-26,86.650002,87.260002,84.750000,85.230003,78.870026,12476900
2021-01-27,84.599998,84.800003,79.610001,80.190002,74.206116,16893300
2021-01-28,80.669998,83.860001,80.050003,82.459999,76.306725,8541300
2021-01-29,81.820000,82.459999,80.220001,80.870003,74.835373,13189700
2021-02-01,82.269997,83.139999,80.849998,81.699997,75.603432,5589500
2021-02-02,82.110001,84.470001,82.050003,82.930000,76.741646,6645400
2021-02-03,83.449997,83.879997,82.910004,83.050003,76.852707,5971200
2021-02-04,83.019997,83.550003,82.570000,83.000000,76.806435,6398400
2021-02-05,83.379997,84.550003,83.000000,83.599998,77.361671,5745800
2021-02-08,84.000000,84.730003,83.129997,83.400002,77.176575,6792300
2021-02-09,83.559998,84.370003,83.000000,83.830002,77.574501,5008900
2021-02-10,84.949997,84.989998,83.449997,83.910004,77.648529,6200800
2021-02-11,84.000000,84.800003,83.620003,83.949997,77.685524,4417200
2021-02-12,84.029999,84.169998,82.620003,83.129997,76.926727,5787200
2021-02-16,83.290001,83.570000,80.989998,81.190002,75.131500,8312600
2021-02-17,80.830002,81.029999,79.620003,80.680000,74.659554,8598300
2021-02-18,80.830002,81.290001,79.940002,80.730003,74.705818,5378900
2021-02-19,80.440002,80.580002,77.949997,78.099998,72.272079,9660900
2021-02-22,77.800003,77.940002,74.550003,75.099998,69.495934,13190300
2021-02-23,75.000000,75.000000,73.309998,74.709999,69.135040,12719000
